frame_index,local_time,utc_time,sample_name,radius_m,direction,dx_vehicle_m,dy_vehicle_m,center_lon,center_lat,sample_lon,sample_lat,heading_deg,heading_convention,dem_sampling_mode,dem_mode,score,raw_score,norm_score,gradient_score,edge_iou,valid_count,valid_ratio,rough_min,rough_max,rough_mean,roughness_scale_m,dem_roughness_window_m,norm_lower_percentile,norm_upper_percentile
27,1780226427685.842,1780226427685.842,center,0.0,center,0.0,0.0,113.0586330193738,28.666087425827484,113.0586330193738,28.666087425827484,248.02247395102324,math,crop_rotate,local_roughness,0.11747577916786628,0.16062788680757684,0.14216615446472297,0.08729865380504143,0.10446019922821502,41015,0.16406,0,255,5.034763813018799,2.5,1.0,2.0,98.0
28,1780226427921.7385,1780226427921.7385,center,0.0,center,0.0,0.0,113.05863302044285,28.666087418914785,113.05863302044285,28.666087418914785,248.02318444055092,math,crop_rotate,local_roughness,0.12021295850443989,0.16435852924304575,0.14562494563799253,0.08915386311898664,0.1052064631956912,41035,0.16414,0,255,5.030755996704102,2.5,1.0,2.0,98.0
29,1780226428093.575,1780226428093.575,center,0.0,center,0.0,0.0,113.05863302101952,28.66608741636916,113.05863302101952,28.66608741636916,248.0247947787649,math,crop_rotate,local_roughness,0.12042094030127298,0.16457180704024774,0.14596689264000104,0.08919810966504979,0.10542844324809332,41065,0.16426,0,255,5.029516220092773,2.5,1.0,2.0,98.0
30,1780226428260.4033,1780226428260.4033,center,0.0,center,0.0,0.0,113.05863302218806,28.666087416386073,113.05863302218806,28.666087416386073,248.02493132690333,math,crop_rotate,local_roughness,0.12045410232976622,0.165932634830023,0.14645420569511142,0.08867619821656654,0.10363945274076723,41137,0.164548,0,255,5.032135963439941,2.5,1.0,2.0,98.0
31,1780226428381.3845,1780226428381.3845,center,0.0,center,0.0,0.0,113.05863302027284,28.666087416891454,113.05863302027284,28.666087416891454,248.02581045366327,math,crop_rotate,local_roughness,0.11802810016830986,0.16403603796908667,0.14401781742225478,0.08626289019126608,0.10264663805436337,41104,0.164416,0,255,5.031228065490723,2.5,1.0,2.0,98.0
32,1780226428672.978,1780226428672.978,center,0.0,center,0.0,0.0,113.05863301936937,28.666087415798007,113.05863301936937,28.666087415798007,248.02609693233907,math,crop_rotate,local_roughness,0.118797624024844,0.16250715503765603,0.14378436635078967,0.08825827229313261,0.10471765546819156,41214,0.164856,0,255,5.028252124786377,2.5,1.0,2.0,98.0
33,1780226428841.4768,1780226428841.4768,center,0.0,center,0.0,0.0,113.05863301745191,28.666087415223394,113.05863301745191,28.666087415223394,248.02490110188222,math,crop_rotate,local_roughness,0.1172332561743736,0.16120283311238381,0.14265050505699992,0.08616772976227477,0.104052965912141,41131,0.164524,0,255,5.0323920249938965,2.5,1.0,2.0,98.0
34,1780226428987.7593,1780226428987.7593,center,0.0,center,0.0,0.0,113.05863301647375,28.666087414417206,113.05863301647375,28.666087414417206,248.02504134724097,math,crop_rotate,local_roughness,0.11672593442590656,0.16102394393401315,0.14121568594599107,0.0867940159013588,0.10227780259044217,41121,0.164484,0,255,5.026892185211182,2.5,1.0,2.0,98.0
35,1780226429254.466,1780226429254.466,center,0.0,center,0.0,0.0,113.05863301374224,28.666087411575532,113.05863301374224,28.666087411575532,248.0245548222352,math,crop_rotate,local_roughness,0.12043078483080233,0.16519091471220718,0.1460897709503513,0.089069801795798,0.1048705966930266,40974,0.163896,0,255,5.015491962432861,2.5,1.0,2.0,98.0
36,1780226429431.8936,1780226429431.8936,center,0.0,center,0.0,0.0,113.05863300956094,28.666087409501372,113.05863300956094,28.666087409501372,248.02510641078345,math,crop_rotate,local_roughness,0.11977878395317962,0.1648380819821588,0.14612080361431704,0.08758298214512274,0.1044883303411131,41012,0.164048,0,255,5.023963928222656,2.5,1.0,2.0,98.0
37,1780226429604.5457,1780226429604.5457,center,0.0,center,0.0,0.0,113.0586330056056,28.66608740589131,113.0586330056056,28.66608740589131,248.02505531916688,math,crop_rotate,local_roughness,0.11753679251771143,0.16321877800959986,0.14541165416963495,0.08346751716536042,0.10342974836572043,41073,0.164292,0,255,5.03169584274292,2.5,1.0,2.0,98.0
38,1780226429767.0483,1780226429767.0483,center,0.0,center,0.0,0.0,113.05863299959137,28.666087401192332,113.05863299959137,28.666087401192332,248.02336112235082,math,crop_rotate,local_roughness,0.11864532535839344,0.16359080243233662,0.14595869992201158,0.08526231200286014,0.10483798581814918,41021,0.164084,0,255,5.035615921020508,2.5,1.0,2.0,98.0
39,1780226430028.0945,1780226430028.0945,center,0.0,center,0.0,0.0,113.0586329936119,28.666087397164816,113.0586329936119,28.666087397164816,248.02226572086656,math,crop_rotate,local_roughness,0.11855079315185937,0.16340298567627462,0.14521136198491869,0.0859656534670091,0.1050646551724138,41017,0.164068,0,255,5.026611804962158,2.5,1.0,2.0,98.0
40,1780226430206.462,1780226430206.462,center,0.0,center,0.0,0.0,113.05863299896916,28.666087398218636,113.05863299896916,28.666087398218636,248.02410422633528,math,crop_rotate,local_roughness,0.11723991541538081,0.16186848141971172,0.14319658407082728,0.08551509816983513,0.10512566435456265,40889,0.163556,0,255,5.020644187927246,2.5,1.0,2.0,98.0
41,1780226430377.599,1780226430377.599,center,0.0,center,0.0,0.0,113.05863300198293,28.666087398283924,113.05863300198293,28.666087398283924,248.02323885910266,math,crop_rotate,local_roughness,0.11577708222920918,0.16108027356691587,0.14241628330765924,0.08321805868888132,0.10407484033462265,40909,0.163636,0,255,5.021964073181152,2.5,1.0,2.0,98.0
42,1780226430495.751,1780226430495.751,center,0.0,center,0.0,0.0,113.05863300474233,28.666087397416653,113.05863300474233,28.666087397416653,248.0241498859734,math,crop_rotate,local_roughness,0.11651234955892253,0.1618636965289167,0.1432399607376004,0.08384526922942735,0.10449104491044911,40905,0.16362,0,255,5.011119842529297,2.5,1.0,2.0,98.0
43,1780226430804.741,1780226430804.741,center,0.0,center,0.0,0.0,113.05863300815356,28.666087396692593,113.05863300815356,28.666087396692593,248.02268516641462,math,crop_rotate,local_roughness,0.11655549361486715,0.16140951702833936,0.14362429095502843,0.08347140797689223,0.1036036036036036,40831,0.163324,0,255,5.0245561599731445,2.5,1.0,2.0,98.0
44,1780226430975.472,1780226430975.472,center,0.0,center,0.0,0.0,113.05863300938175,28.666087396369193,113.05863300938175,28.666087396369193,248.02147863811692,math,crop_rotate,local_roughness,0.11712570100572836,0.16327447557367253,0.1446193965644999,0.08352229532278535,0.10407117821515233,40941,0.163764,0,255,5.027895927429199,2.5,1.0,2.0,98.0
45,1780226431146.0674,1780226431146.0674,center,0.0,center,0.0,0.0,113.05863300910802,28.66608739479011,113.05863300910802,28.66608739479011,248.02224348915482,math,crop_rotate,local_roughness,0.11696626745182248,0.1628441790957253,0.14430340872276565,0.08355420589844749,0.1035349004127041,40999,0.163996,0,255,5.01883602142334,2.5,1.0,2.0,98.0
46,1780226431380.8918,1780226431380.8918,center,0.0,center,0.0,0.0,113.05863300681901,28.666087394322812,113.05863300681901,28.666087394322812,248.02268812176914,math,crop_rotate,local_roughness,0.11743573791097964,0.165206137687609,0.14623460594595014,0.08223712142379346,0.10266977244221466,41025,0.1641,0,255,5.033031940460205,2.5,1.0,2.0,98.0
47,1780226431546.6863,1780226431546.6863,center,0.0,center,0.0,0.0,113.05863300418856,28.66608739349821,113.05863300418856,28.66608739349821,248.02336128830328,math,crop_rotate,local_roughness,0.11822135763814426,0.16396679434044936,0.14510029264938337,0.08536932595774088,0.10369637557334292,40906,0.163624,0,255,5.02236795425415,2.5,1.0,2.0,98.0
48,1780226431791.109,1780226431791.109,center,0.0,center,0.0,0.0,113.05863300115993,28.66608739284886,113.05863300115993,28.66608739284886,248.024779625079,math,crop_rotate,local_roughness,0.1178643947192825,0.16358846936024785,0.14508196097622708,0.08459848040523911,0.10352856886978327,41073,0.164292,0,255,5.031439781188965,2.5,1.0,2.0,98.0
49,1780226431962.8752,1780226431962.8752,center,0.0,center,0.0,0.0,113.05863299654598,28.66608739178048,113.05863299654598,28.66608739178048,248.02423039473726,math,crop_rotate,local_roughness,0.11766644974028044,0.16381145522104437,0.14508180224246872,0.08415879668205031,0.10417416336811802,40909,0.163636,0,255,5.032812118530273,2.5,1.0,2.0,98.0
50,1780226432198.0725,1780226432198.0725,center,0.0,center,0.0,0.0,113.05863299812157,28.666087392907826,113.05863299812157,28.666087392907826,248.02451277644758,math,crop_rotate,local_roughness,0.11866717186879266,0.1652203930662144,0.14605126618260283,0.08519772326302467,0.10509726224783862,40899,0.163596,0,255,5.027336120605469,2.5,1.0,2.0,98.0
51,1780226432380.356,1780226432380.356,center,0.0,center,0.0,0.0,113.0586329971837,28.666087392881963,113.0586329971837,28.666087392881963,248.0232093178534,math,crop_rotate,local_roughness,0.11672883130715873,0.162637237419722,0.14402170019349206,0.08337088044608466,0.10455402856372946,40982,0.163928,0,255,5.0421881675720215,2.5,1.0,2.0,98.0
52,1780226432551.9739,1780226432551.9739,center,0.0,center,0.0,0.0,113.05863299821762,28.666087394291324,113.05863299821762,28.666087394291324,248.024676941664,math,crop_rotate,local_roughness,0.11650829543564781,0.16222603423343582,0.1443832414507417,0.08243891697275527,0.10438132783800735,41085,0.16434,0,255,5.049248218536377,2.5,1.0,2.0,98.0
53,1780226432723.0479,1780226432723.0479,center,0.0,center,0.0,0.0,113.05863299650926,28.666087394544533,113.05863299650926,28.666087394544533,248.0239481384894,math,crop_rotate,local_roughness,0.11558559063553236,0.1601293981538147,0.1423678282269543,0.0828517446904611,0.10358102059086839,41086,0.164344,0,255,5.0392961502075195,2.5,1.0,2.0,98.0
54,1780226432954.4731,1780226432954.4731,center,0.0,center,0.0,0.0,113.05863299628685,28.66608739659673,113.05863299628685,28.66608739659673,248.02314252860288,math,crop_rotate,local_roughness,0.11781752668053405,0.1624196922509825,0.14414025252920817,0.08564530619882124,0.10672148730782982,41269,0.165076,0,255,5.048188209533691,2.5,1.0,2.0,98.0
